company_name,job_title,career_level,deadline,apply_url,tech_stacks,requirements,preferences,responsibilities,team_culture,benefits
비큐에이아이,백엔드개발자(AIROOT),경력 3년 이상,상시채용,https://www.wanted.co.kr/wd/358773,"Python, FastAPI, Flask, MySQL, PostgreSQL, MongoDB, Elasticsearch","• 3년 이상의 백엔드 개발 관련 경험
• Spring 기반 백엔드 개발 실무 경험(최소 1년)
• Python 웹 프레임워크(Flask 또는 FastAPI) 사용 경험",공고문 내 명시 없음,"1. 웹 크롤러 및 스크래퍼 설계, 개발 및 유지보수
• 정적/동적 웹사이트 데이터 수집 로직 구현
• 대량 수집 환경에서의 차단 우회 및 안정성 개선
• 수집 데이터 정제 및 DB 적재 자동화
• 사이트 구조 변경 대응 및 크롤러 유지관리
• 모니터링 및 로그 분석 후 대응
• 데이터 수집 분산 시스템 구성
2. Springboot 기반 백엔드 개발 업무
• Springboot 기반 백엔드 API 개발/운영
• 매체 연계 에이전트 개발/운영
• 레거시 API 운영
• 매체 크롤러 개발/운영
• 데이터 파이프라인 구축 및 최적화
3. AI 백엔드 시스템 개발/운영
• Flask or FastAPI 개발/운영
4. 검색엔진(Elasticsearch) 운영",공고문 내 명시 없음,"• 합격보상: 지원자, 추천인 각 현금 50만원
• 리프레시휴가
• 건강검진지원
• 육아휴직
• 편의시설"
아드리엘(Adriel),Jr. 백엔드 개발자,경력 2-6년,상시채용,https://www.wanted.co.kr/wd/359700,"TypeScript, JavaScript, SQL","1~2년 이상의 백엔드 개발 경험 또는 이에 준하는 실무/프로젝트 경험
TypeScript 또는 JavaScript 기반 개발 경험
SQL 및 관계형 데이터베이스 활용 경험
REST API 및 서버 개발 구조에 대한 기본 이해
유지보수성과 가독성을 고려한 코드 작성 가능
비지니스 영어 기반 협업 환경에서 커뮤니케이션 가능","병역특례 지원 가능
외국어 능통자 우대","Adriel 데이터 및 분석 플랫폼을 위한 백엔드 시스템 개발 및 운영
외부 API 및 서드파티 플랫폼 연동 개발
데이터 동기화 및 처리용 백그라운드 작업 시스템 구축 및 유지보수
장애 대응, 데이터 이슈 분석 및 시스템 안정성 개선
Product / Frontend / Backend 팀과 협업하여 기능 개발 및 서비스 고도화","경험 많은 엔지니어들과 협업하며 빠르게 성장할 수 있는 환경
AI 기반 기능 개발 및 제품 진화 과정에 참여","커피·스낵바
자기계발지원
건강검진지원
편의시설
보너스
식대지원
연봉상위11~20%
설립4~9년
50명이하
워크샵
재택근무
유연근무"
딥파인,백엔드 개발자 3년차 이상,경력 3-10년,상시채용,https://www.wanted.co.kr/wd/359617,"Java, Node.js, RDBMS, SQL, Linux","ㆍ경력 3년 이상
ㆍ대학교(2,3년제) 이상
ㆍ서비스 레벨의 API 설계 및 개발 경험이 있으신 분
ㆍRDBMS의 성능 및 트랜잭션에 대한 이해를 가지고 계신 분
ㆍLinux 환경에서의 백엔드 어플리케이션 배포 및 운영 경험 있으신 분",공고문 내 명시 없음,"ㆍ확장 가능한 백엔드 시스템 위에서 동작하도록 서버 아키텍처를 설계
ㆍJava 및 Node.js 기반 백엔드 서버 RESTful API 기술 개발
ㆍRDBMS 기반 SQL문 작성 및 Database 구축
ㆍ자사 서비스 운영 및 신규 서비스 시스템 설계 및 개발",XR 기술을 활용하여 어디에도 없는 새로운 메타버스 생태계를 구축한다는 자부심을 가지고 함께하는 성장에 가치를 느끼고 싶은 분이라면 언제든지 환영합니다!,"ㆍ자기계발지원
ㆍ커피·스낵바
ㆍ50명이하
ㆍ설립4~9년
ㆍ인원 급성장
ㆍ연봉 업계평균이상
ㆍ보너스
ㆍ건강검진지원
ㆍ유망산업
ㆍ편의시설"
코리아포트원,AI-Native 소프트웨어 엔지니어,경력 3-8년,상시채용,https://www.wanted.co.kr/wd/356340,"Kotlin, TypeScript, Go, PostgreSQL, Google BigQuery, Kubernetes, AWS","• 최소 3년 이상의 Backend 엔지니어링 경험
• AI 기반 업무 방식에 익숙하거나 실제 업무에 활용 경험
• AI가 업무 방식을 혁신할 수 있는 방법에 대한 고민
• 소프트웨어 엔지니어링의 기본기(자료구조, 알고리즘, 아키텍처 등) 보유
• 기술적 개념을 비개발직군이나 고객에게 쉽게 전달할 수 있는 커뮤니케이션 능력
• 문제의 정의부터 실행, 결과까지 책임지고 완결한 경험",공고문 내 명시 없음,"• AI 도구 및 자동화 워크플로우를 활용하여 개발 생산성 극대화
• 제품 개발 전반에 주도적으로 참여
• 확장 가능하고 안정적인 서비스 구축
• 고객 및 비개발 직군과 소통하며 기술적 언어를 비즈니스 가치로 변환
• 기술적 의사결정 및 문제 정의, 해결","Engineering 조직은 문제 정의부터 해결까지 주도하는 Product Engineer로서 일함
AI Literacy와 설계 역량을 핵심으로 빠르게 성장하는 팀","• 합격보상: 지원자, 추천인 각 현금 50만원
• 보너스
• 건강검진 지원
• 스톡옵션
• 식대 지원
• 자기계발 지원
• 장비 지원"
디오티스,서버 개발자 (7년 이상),경력 7-15년,2026.05.10,https://www.wanted.co.kr/wd/358584,"Java, Spring","대졸 이상
Native Java 또는 Spring 기반 서버 개발 경력 7년 이상",공고문 내 명시 없음,"기존 SOE 및 Portal Admin 분석을 통한 유지보수 운영 및 신규 프로젝트 수행
신규 SOE 및 Portal Admin 개발 참여(AS-IS 분석을 통한 재개발)","이노비즈, 메인비즈, 가족친화인증 등을 통해 조직 문화와 인력 관리의 우수성을 인정받음
안정적 조직 경영과 끊임없는 기술 혁신이 공존하는 기업","식대지원
편의시설
사내동호회
자기계발지원
설립10년이상
연봉상위11~20%
50명이하
커피·스낵바"
버즈빌(buzzvil),백엔드 개발자(3년 이상),경력 3-10년,2026.05.31,https://www.wanted.co.kr/wd/359810,"Python(Django), MySQL, Amazon DynamoDB, Amazon Athena, Kubernetes, Redis, Airflow","3년 이상의 백엔드 개발 실무 경력을 갖추신 분
복잡한 비즈니스 요구사항을 기술적으로 해석하고, 주도적으로 아키텍처 의사결정을 내려본 경험이 있는 분
스스로를 개발을 하는 사람이 아니라, 기술로 문제를 해결하는 사람이라고 정의하시는 분
AI 도구를 적극적으로 도입하고, 이를 통해 생산성을 극대화할 수 있는 역량을 갖추신 분",공고문 내 명시 없음,"신규 광고 상품 개발 및 기존 상품 고도화
외부 제휴 플랫폼 연동
셀프서브 광고 플랫폼 설계 및 개발
기술 부채 해소 및 아키텍처 고도화","자율적인 조직 문화
지속적인 성장
투명한 정보 공유","자기계발지원
건강검진지원
식대지원
사내동호회
커피·스낵바
장비지원
보너스
재택근무"
베이글랩스,디지털치료기기(DTx) 시니어 백엔드 개발자 (7년 이상),경력 7-14년,2026.05.31,https://www.wanted.co.kr/wd/354314,"Django, Python, AWS, CI/CD, RDBMS, REST API, AI/ML","• 백엔드 개발 경력 7년 이상
• Django 또는 Python 기반 백엔드 서비스 개발 및 운영 경험
• REST API 설계 및 개발 경험이 풍부한 분
• AWS 환경에서 서비스 배포 및 운영 경험
• CI/CD 구축 또는 운영 경험
• RDBMS 설계 및 쿼리 최적화 경험
• 운영 환경에서의 장애 대응, 로그 분석, 성능 개선 경험
• 프론트엔드 팀 또는 RN, Next.js 환경과 협업한 경험
• AI/ML 서비스 연동 구조에 대한 기본 이해
• 코드 품질, 테스트, 유지보수성을 중요하게 생각하는 분",• AI 기능이 접목된 헬스케어 서비스 확장에 대비한 이해,"• Django 기반 백엔드 서비스 및 REST API 설계, 개발, 운영
• 헬스케어 서비스의 핵심 API 및 내부 시스템 연동 개발
• AWS 환경에서 서비스 인프라 구축 및 운영
• CI/CD 파이프라인 설계 및 개선을 통한 배포 자동화
• 서비스 성능 개선, 장애 대응, 모니터링 및 운영 안정화
• 데이터 보안, 접근 제어, 개인정보 보호를 고려한 시스템 설계
• Next.js / AOS / Rn 기반 프론트엔드와의 연동 및 협업
• AI/ML 기능이 포함된 서비스의 백엔드 API 설계 및 운영
• 외부 AI API, 추론 서버, 벡터 검색 등과 연계되는 아키텍처 설계
• 의료 및 건강 데이터를 활용한 기능 설계와 운영 정책 반영",공고문 내 명시 없음,"• 합격보상: 지원자, 추천인 각 현금 50만원
• 식대지원
• 장비지원
• 건강검진지원"
크로스이엔에프,프론티어(Frontier) Developer,경력 7년 이상,상시채용,https://www.wanted.co.kr/wd/356348,"Python, Go, Java, Node.js, React, MySQL, MongoDB, Redis, Docker, Jenkins","백엔드 개발 경력 7년 이상 또는 이에 준하는 경험
Python, Go, Java, Node.js 등 하나 이상의 언어로 견고한 서버 사이드 개발 역량 보유
React 등 프론트엔드 기술을 활용해 실제 서비스를 구현해본 경험
데이터 모델링 및 다양한 저장소(MySQL, MongoDB, Redis 등)에 대한 깊은 이해
Docker 기반 서비스 운영 및 CI/CD 환경(Jenkins 등) 경험
하나의 서비스를 처음부터 끝까지 ownership 있게 만들어본 경험 (기획  개발  배포  운영)
불확실한 요구사항 속에서도 문제를 정의하고 실행 가능한 방향으로 구조화할 수 있는 능력
새로운 도구(AI 포함)를 빠르게 습득하고 실제 문제 해결에 적용할 수 있는 분",공고문 내 명시 없음,"기존 서비스(KYC, 송금, 결제 등)에 얽매이지 않고, 새로운 문제를 정의하고 제품으로 빠르게 구현
아이디어  프로토타입  프로덕션까지, 최소한의 리소스로 최대한의 임팩트를 만들어내는 개발
백엔드 중심으로 API 설계, 도메인 모델링, 데이터 구조 설계 및 외부 시스템 연동
필요 시 프론트엔드(어드민, 내부 툴, 웹 서비스 등)를 직접 구현하며 end-to-end로 완결
불확실한 요구사항을 스스로 구조화하고, 제품 방향성을 기술적으로 리딩
빠른 실험과 반복을 통해 가설을 검증하고, “되는 것” 을 집요하게 밀어붙이는 실행
AI 도구를 적극적으로 활용하여 개발 속도와 생산성을 비약적으로 향상시키고, 팀의 표준으로 확산","데이터를 기반으로 일합니다. “최고의 효율을 내기 위해, 늘 최선의 방식을 고민합니다”
조용하지만 열정적입니다. “내일도 좋지만, 어제보다 나은 오늘을 위해 집중합니다”
배움에 늘 열려 있습니다. “부족함이 있다면 배우고 성장합니다. 자만하지 않고 언제나 더 나은 방법을 찾습니다.”
다양한 사람들이 함께합니다. “언어, 문화, 생각도 다르지만, 함께 성장하고자 하는 목표는 모두 같습니다”
우리는 스타트업입니다. “꿈꾸는 모든 것을 시도하며, 거침없이 앞으로 전진할 수 있습니다”","자유로운휴가
커피·스낵바
편의시설
건강검진지원
자기계발지원
리프레시휴가
식대지원
워크샵"
워트인텔리전스,Senior AI Engineer (LLM / NLP / MLOps),경력 5-10년,2026.05.29,https://www.wanted.co.kr/wd/353598,"AI, ML, NLP, LLM, PyTorch, TensorFlow","• AI/ML/NLP 분야 5년 이상 경력 또는 이에 준하는 실무 역량
• 생성형 AI / NLP / LLM 기반 모델 설계 및 구현 경험
• PyTorch / TensorFlow 기반 모델 개발 및 학습 경험
• 대규모 데이터 처리 및 학습/평가 파이프라인 구축 경험
• AI 모델을 실제 서비스로 적용한 경험",공고문 내 명시 없음,"• AI 모델 및 시스템 개발
• NLP / LLM 기반 모델 설계 및 성능 개선
• RAG, Agent, 검색 등 AI 시스템 설계 및 구현
• 문제 정의부터 모델 적용 및 서비스화까지 End-to-End 개발
• AI 성능 평가 및 개선
• 모델 및 서비스 성능 개선을 위한 실험 및 튜닝
• 평가 데이터셋 기반 LLM 및 검색 성능 검증 및 개선
• 검색/LLM 결과 품질 향상을 위한 평가 및 개선 프로세스 운영
• 프로젝트 수행 및 기술 리딩
• AI 프로젝트 단위에서 기술 방향 설정 및 구현 주도
• 모델, 데이터, 시스템을 통합한 문제 해결
• 코드 리뷰 및 협업을 통한 개발 품질 향상","• SMART GIVER : 전체 맥락을 읽고 조직의 목표에 가장 큰 임팩트를 만드는 방식으로 기여합니다.
• PROBLEM SOLVER : 문제를 발견하는 데서 멈추지 않고, 해결될 때까지 책임지고 결론을 만듭니다.
• CHANGE MAKER : 구조와 기준을 바꿔 조직의 다음 단계를 여는 실제 변화를 만들어냅니다.","• 자율복장
• 커피·스낵바
• 리프레시휴가
• 유망산업
• 보너스
• 자기계발지원
• 수평적조직
• 식대지원
• 편의시설
• 장비지원
• 유급휴가
• 휴가비
• 건강검진지원"
아우토크립트,PnC 개발 5년 이상,경력 5-11년,상시채용,https://www.wanted.co.kr/wd/329186,"Java, Spring Boot, Spring JPA, MariaDB, MySQL","· Java 및 Spring Boot 기반 5년 이상 경험
· Spring JPA 기반의 데이터 처리 경험
· MariaDB/MySQL 인덱스와 성능 고려한 쿼리 작성 경험",공고문 내 명시 없음,"전기차 충전 인프라 PnC/OCPP 서버를 개발하며 충전 인증부터 보안 통신 벡엔드 업무를 수행합니다.
· 전기차 충전 프로토콜(OCPP) 개발
· PKI기반 PnC 충전 서버 개발
· 암복호화 라이브러리 개발","현재 약 285명의 직원들이 근무하고 있으며, 85% 이상 R&D 역할을 맡고 있습니다.","합격보상: 지원자, 추천인 각 현금 50만원
자기계발지원
커피·스낵바
휴가비
편의시설
장비지원
건강검진지원
연봉상위6~10%
의료비지원
식대지원
유연근무"
